侵胶铺 厘家疙,角矫埃 牢备泅炔,厘家 去棱档 瘤钎,角矫埃 牢备 瘤钎 弥家蔼,角矫埃 牢备 瘤钎 弥措蔼,惑林 牢备 厚啦,厚惑林 牢备 厚啦,角矫埃 牢备 单捞磐 诀单捞飘 矫埃
绊么导,,咯蜡,600,700,48.5,51.5,2024-11-14 00:30
绊么导,,咯蜡,500,600,54.8,45.2,2024-11-14 00:40
绊么导,,咯蜡,500,600,51.0,49.0,2024-11-14 00:50
绊么导,,咯蜡,600,700,16.9,83.1,2024-11-14 10:40
绊么导,,咯蜡,600,700,17.2,82.8,2024-11-14 10:50
绊么导,,咯蜡,600,700,17.7,82.3,2024-11-14 11:00
绊么导,,咯蜡,600,700,19.2,80.8,2024-11-14 11:10
绊么导,,咯蜡,600,700,19.1,80.9,2024-11-14 11:20
绊么导,,咯蜡,600,700,16.6,83.4,2024-11-14 11:30
绊么导,,咯蜡,500,600,18.6,81.4,2024-11-14 11:40
绊么导,,咯蜡,600,700,17.0,83.0,2024-11-14 11:50
绊么导,,咯蜡,500,600,20.3,79.7,2024-11-14 12:00
绊么导,,咯蜡,500,600,20.5,79.5,2024-11-14 12:10
绊么导,,咯蜡,500,600,20.5,79.5,2024-11-14 12:20
绊么导,,咯蜡,600,700,19.0,81.0,2024-11-14 12:30
绊么导,,咯蜡,500,600,18.8,81.2,2024-11-14 12:40
绊么导,,咯蜡,500,600,18.9,81.1,2024-11-14 12:50
绊么导,,咯蜡,500,600,20.2,79.8,2024-11-14 13:15
绊么导,,咯蜡,500,600,19.4,80.6,2024-11-14 13:25
绊么导,,咯蜡,500,600,21.9,78.1,2024-11-14 13:35
绊么导,,咯蜡,600,700,19.3,80.7,2024-11-14 13:45
绊么导,,咯蜡,600,700,18.4,81.6,2024-11-14 13:55
绊么导,,咯蜡,600,700,19.7,80.3,2024-11-14 14:05
绊么导,,咯蜡,600,700,19.1,80.9,2024-11-14 14:15
绊么导,,咯蜡,600,700,17.8,82.2,2024-11-14 14:25
绊么导,,咯蜡,600,700,18.8,81.2,2024-11-14 14:35
绊么导,,咯蜡,600,700,16.8,83.2,2024-11-14 14:45
绊么导,,咯蜡,600,700,15.0,85.0,2024-11-14 14:55
绊么导,,咯蜡,600,700,15.5,84.5,2024-11-14 15:10
绊么导,,咯蜡,500,600,15.2,84.8,2024-11-14 15:20
绊么导,,咯蜡,600,700,14.9,85.1,2024-11-14 15:30
绊么导,,咯蜡,500,600,14.9,85.1,2024-11-14 15:40
绊么导,,咯蜡,600,700,15.0,85.0,2024-11-14 15:50
绊么导,,咯蜡,600,700,14.4,85.6,2024-11-14 16:00
绊么导,,咯蜡,600,700,13.7,86.3,2024-11-14 16:10
绊么导,,咯蜡,600,700,13.9,86.1,2024-11-14 16:20
绊么导,,咯蜡,600,700,11.4,88.6,2024-11-14 16:40
绊么导,,咯蜡,700,800,10.7,89.3,2024-11-14 17:00
绊么导,,咯蜡,800,900,9.4,90.6,2024-11-14 17:10
绊么导,,咯蜡,700,800,11.5,88.5,2024-11-14 17:25
绊么导,,咯蜡,700,800,12.4,87.6,2024-11-14 17:45
绊么导,,咯蜡,700,800,11.4,88.6,2024-11-14 17:55
绊么导,,咯蜡,700,800,14.7,85.3,2024-11-14 18:05
绊么导,,咯蜡,700,800,13.4,86.6,2024-11-14 18:15
绊么导,,咯蜡,700,800,13.2,86.8,2024-11-14 18:25
绊么导,,咯蜡,800,900,12.5,87.5,2024-11-14 18:35
绊么导,,咯蜡,800,900,12.6,87.4,2024-11-14 18:45
绊么导,,咯蜡,800,900,12.7,87.3,2024-11-14 18:55
绊么导,,咯蜡,700,800,14.0,86.0,2024-11-14 19:05
绊么导,,咯蜡,700,800,16.1,83.9,2024-11-14 19:15
绊么导,,咯蜡,600,700,17.1,82.9,2024-11-14 19:25
绊么导,,咯蜡,700,800,16.5,83.5,2024-11-14 19:35
绊么导,,咯蜡,700,800,17.4,82.6,2024-11-14 19:45
绊么导,,咯蜡,700,800,15.6,84.4,2024-11-14 19:55
绊么导,,咯蜡,700,800,17.7,82.3,2024-11-14 20:05
绊么导,,咯蜡,700,800,20.1,79.9,2024-11-14 20:15
绊么导,,咯蜡,700,800,20.2,79.8,2024-11-14 20:30
绊么导,,咯蜡,600,700,21.6,78.4,2024-11-14 20:40
绊么导,,咯蜡,700,800,22.9,77.1,2024-11-14 20:50
绊么导,,咯蜡,700,800,22.9,77.1,2024-11-14 21:00
绊么导,,咯蜡,600,700,25.0,75.0,2024-11-14 21:10
绊么导,,咯蜡,600,700,22.9,77.1,2024-11-14 21:20
绊么导,,咯蜡,600,700,25.5,74.5,2024-11-14 21:30
绊么导,,咯蜡,500,600,27.4,72.6,2024-11-14 21:40
绊么导,,咯蜡,500,600,29.0,71.0,2024-11-14 21:50
绊么导,,咯蜡,600,700,32.7,67.3,2024-11-14 22:00
绊么导,,咯蜡,700,800,26.9,73.1,2024-11-14 22:10
绊么导,,咯蜡,500,600,31.5,68.5,2024-11-14 22:20
绊么导,,咯蜡,500,600,34.2,65.8,2024-11-14 22:30
绊么导,,咯蜡,500,600,31.7,68.3,2024-11-14 22:40
绊么导,,咯蜡,500,600,33.6,66.4,2024-11-14 22:50
绊么导,,咯蜡,500,600,34.7,65.3,2024-11-14 23:00
绊么导,,咯蜡,400,500,39.8,60.2,2024-11-14 23:10
绊么导,,咯蜡,500,600,32.1,67.9,2024-11-14 23:20
绊么导,,咯蜡,500,600,32.1,67.9,2024-11-14 23:30
绊么导,,咯蜡,500,600,36.0,64.0,2024-11-14 23:40
绊么导,,咯蜡,400,500,37.2,62.8,2024-11-14 23:50
绊么导,,咯蜡,500,600,38.1,61.9,2024-11-15 00:00
绊么导,,咯蜡,400,500,37.1,62.9,2024-11-15 00:25
绊么导,,咯蜡,500,600,42.0,58.0,2024-11-15 00:35
绊么导,,咯蜡,500,600,43.0,57.0,2024-11-15 00:45
绊么导,,咯蜡,400,500,46.2,53.8,2024-11-15 00:55
绊么导,,咯蜡,400,500,43.9,56.1,2024-11-15 01:05
绊么导,,咯蜡,400,500,47.8,52.2,2024-11-15 01:15
绊么导,,咯蜡,400,500,40.2,59.8,2024-11-15 01:25
绊么导,,咯蜡,400,500,42.9,57.1,2024-11-15 01:35
绊么导,,咯蜡,400,500,47.4,52.6,2024-11-15 01:45
绊么导,,咯蜡,400,500,45.4,54.6,2024-11-15 01:55
绊么导,,咯蜡,400,500,40.6,59.4,2024-11-15 02:05
绊么导,,咯蜡,400,500,41.6,58.4,2024-11-15 02:15
绊么导,,咯蜡,400,500,39.4,60.6,2024-11-15 02:25
绊么导,,咯蜡,400,500,47.6,52.4,2024-11-15 02:35
绊么导,,咯蜡,400,500,43.9,56.1,2024-11-15 02:55
绊么导,,咯蜡,400,500,44.2,55.8,2024-11-15 03:05
绊么导,,咯蜡,400,500,45.8,54.2,2024-11-15 03:15
绊么导,,咯蜡,400,500,47.2,52.8,2024-11-15 03:40
绊么导,,咯蜡,400,500,47.1,52.9,2024-11-15 03:50
绊么导,,咯蜡,400,500,42.3,57.7,2024-11-15 04:00
绊么导,,咯蜡,400,500,41.7,58.3,2024-11-15 04:10
绊么导,,咯蜡,400,500,41.9,58.1,2024-11-15 04:20
绊么导,,咯蜡,400,500,42.8,57.2,2024-11-15 04:30
绊么导,,咯蜡,400,500,47.1,52.9,2024-11-15 04:40
绊么导,,咯蜡,400,500,47.3,52.7,2024-11-15 04:50
绊么导,,咯蜡,300,400,44.9,55.1,2024-11-15 05:00
绊么导,,咯蜡,400,500,40.7,59.3,2024-11-15 05:30
绊么导,,咯蜡,400,500,41.1,58.9,2024-11-15 05:40
绊么导,,咯蜡,400,500,41.9,58.1,2024-11-15 05:50
绊么导,,咯蜡,500,600,40.1,59.9,2024-11-15 06:00
绊么导,,咯蜡,500,600,37.7,62.3,2024-11-15 06:10
绊么导,,咯蜡,500,600,37.9,62.1,2024-11-15 06:20
绊么导,,咯蜡,500,600,40.1,59.9,2024-11-15 06:30
绊么导,,咯蜡,500,600,35.1,64.9,2024-11-15 06:45
绊么导,,咯蜡,500,600,33.2,66.8,2024-11-15 06:55
绊么导,,咯蜡,500,600,18.1,81.9,2024-11-15 07:05
绊么导,,咯蜡,500,600,10.1,89.9,2024-11-15 07:15
绊么导,,咯蜡,400,500,13.0,87.0,2024-11-15 07:25
绊么导,,咯蜡,600,700,9.6,90.4,2024-11-15 07:35
绊么导,,咯蜡,800,900,8.4,91.6,2024-11-15 07:45
绊么导,,咯蜡,700,800,8.2,91.8,2024-11-15 07:55
绊么导,,咯蜡,600,700,10.1,89.9,2024-11-15 08:25
绊么导,,咯蜡,600,700,9.2,90.8,2024-11-15 08:35
绊么导,,咯蜡,500,600,8.1,91.9,2024-11-15 08:45
绊么导,,咯蜡,600,700,11.5,88.5,2024-11-15 08:55
绊么导,,咯蜡,700,800,10.5,89.5,2024-11-15 09:05
绊么导,,咯蜡,600,700,11.2,88.8,2024-11-15 09:25
绊么导,,咯蜡,600,700,12.4,87.6,2024-11-15 09:40
绊么导,,咯蜡,800,900,9.7,90.3,2024-11-15 09:50
绊么导,,咯蜡,700,800,13.0,87.0,2024-11-15 10:00
绊么导,,咯蜡,600,700,12.7,87.3,2024-11-15 10:10
绊么导,,咯蜡,700,800,12.0,88.0,2024-11-15 10:20
绊么导,,咯蜡,600,700,11.6,88.4,2024-11-15 10:30
绊么导,,咯蜡,700,800,11.8,88.2,2024-11-15 10:40
绊么导,,咯蜡,700,800,13.3,86.7,2024-11-15 10:50
绊么导,,咯蜡,700,800,13.0,87.0,2024-11-15 11:00
绊么导,,咯蜡,600,700,13.1,86.9,2024-11-15 11:10
绊么导,,咯蜡,600,700,14.8,85.2,2024-11-15 11:20
绊么导,,咯蜡,500,600,12.2,87.8,2024-11-15 11:30
绊么导,,咯蜡,600,700,12.7,87.3,2024-11-15 11:40
绊么导,,咯蜡,600,700,14.3,85.7,2024-11-15 11:50
绊么导,,咯蜡,500,600,13.6,86.4,2024-11-15 12:00
绊么导,,咯蜡,700,800,12.9,87.1,2024-11-15 12:10
绊么导,,咯蜡,600,700,12.6,87.4,2024-11-15 12:20
绊么导,,咯蜡,900,1000,17.2,82.8,2024-11-15 12:30
绊么导,,咯蜡,600,700,11.9,88.1,2024-11-15 12:40
绊么导,,咯蜡,600,700,12.3,87.7,2024-11-15 12:50
绊么导,,咯蜡,600,700,12.9,87.1,2024-11-15 13:00
绊么导,,咯蜡,500,600,14.6,85.4,2024-11-15 13:15
绊么导,,咯蜡,600,700,13.0,87.0,2024-11-15 13:25
绊么导,,咯蜡,600,700,14.2,85.8,2024-11-15 13:35
绊么导,,咯蜡,700,800,12.1,87.9,2024-11-15 13:45
绊么导,,咯蜡,700,800,12.4,87.6,2024-11-15 13:55
绊么导,,咯蜡,600,700,12.9,87.1,2024-11-15 14:05
绊么导,,咯蜡,600,700,11.9,88.1,2024-11-15 14:15
绊么导,,咯蜡,700,800,13.6,86.4,2024-11-15 14:25
绊么导,,咯蜡,600,700,13.5,86.5,2024-11-15 14:35
绊么导,,咯蜡,600,700,13.3,86.7,2024-11-15 14:45
绊么导,,咯蜡,700,800,13.6,86.4,2024-11-15 14:55
绊么导,,咯蜡,700,800,15.7,84.3,2024-11-15 15:05
绊么导,,咯蜡,600,700,16.0,84.0,2024-11-15 15:15
绊么导,,咯蜡,500,600,13.9,86.1,2024-11-15 15:25
绊么导,,咯蜡,600,700,14.8,85.2,2024-11-15 15:35
绊么导,,咯蜡,600,700,12.7,87.3,2024-11-15 15:45
绊么导,,咯蜡,700,800,11.5,88.5,2024-11-15 15:55
绊么导,,咯蜡,600,700,14.3,85.7,2024-11-15 16:15
绊么导,,咯蜡,800,900,10.9,89.1,2024-11-15 16:25
绊么导,,咯蜡,700,800,11.5,88.5,2024-11-15 17:00
绊么导,,咯蜡,900,1000,9.4,90.6,2024-11-15 17:10
绊么导,,咯蜡,800,900,10.8,89.2,2024-11-15 17:20
绊么导,,咯蜡,900,1000,10.7,89.3,2024-11-15 17:30
绊么导,,咯蜡,900,1000,11.9,88.1,2024-11-15 17:40
绊么导,,咯蜡,900,1000,10.8,89.2,2024-11-15 17:50
绊么导,,咯蜡,900,1000,9.4,90.6,2024-11-15 18:00
绊么导,,咯蜡,900,1000,10.5,89.5,2024-11-15 18:10
绊么导,,咯蜡,800,900,10.6,89.4,2024-11-15 18:20
绊么导,,咯蜡,900,1000,10.8,89.2,2024-11-15 18:30
绊么导,,咯蜡,900,1000,10.7,89.3,2024-11-15 18:40
绊么导,,咯蜡,700,800,12.0,88.0,2024-11-15 19:00
绊么导,,咯蜡,800,900,11.3,88.7,2024-11-15 19:10
绊么导,,咯蜡,700,800,15.1,84.9,2024-11-15 19:20
绊么导,,咯蜡,700,800,18.6,81.4,2024-11-15 19:30
绊么导,,咯蜡,700,800,18.3,81.7,2024-11-15 19:40
绊么导,,咯蜡,700,800,18.1,81.9,2024-11-15 20:05
绊么导,,咯蜡,700,800,18.1,81.9,2024-11-15 20:15
绊么导,,咯蜡,700,800,18.6,81.4,2024-11-15 20:25
绊么导,,咯蜡,600,700,19.6,80.4,2024-11-15 20:35
绊么导,,咯蜡,700,800,20.5,79.5,2024-11-15 20:45
绊么导,,咯蜡,700,800,19.0,81.0,2024-11-15 20:55
绊么导,,咯蜡,700,800,21.9,78.1,2024-11-15 21:05
绊么导,,咯蜡,600,700,18.3,81.7,2024-11-15 21:15
绊么导,,咯蜡,500,600,22.8,77.2,2024-11-15 21:25
绊么导,,咯蜡,600,700,24.2,75.8,2024-11-15 21:45
绊么导,,咯蜡,600,700,29.1,70.9,2024-11-15 21:55
绊么导,,咯蜡,500,600,30.1,69.9,2024-11-15 22:05
绊么导,,咯蜡,600,700,30.0,70.0,2024-11-15 22:15
绊么导,,咯蜡,600,700,26.3,73.7,2024-11-15 22:25
绊么导,,咯蜡,500,600,31.0,69.0,2024-11-15 22:35
绊么导,,咯蜡,500,600,34.0,66.0,2024-11-15 23:00
绊么导,,咯蜡,500,600,33.7,66.3,2024-11-15 23:10
绊么导,,咯蜡,500,600,33.4,66.6,2024-11-15 23:20
绊么导,,咯蜡,500,600,30.8,69.2,2024-11-15 23:30
绊么导,,咯蜡,500,600,32.6,67.4,2024-11-15 23:40
绊么导,,咯蜡,500,600,37.4,62.6,2024-11-15 23:50
绊么导,,咯蜡,500,600,37.1,62.9,2024-11-16 00:00
绊么导,,咯蜡,400,500,39.3,60.7,2024-11-16 00:10
绊么导,,咯蜡,400,500,41.0,59.0,2024-11-16 00:20
绊么导,,咯蜡,400,500,39.9,60.1,2024-11-16 00:30
绊么导,,咯蜡,400,500,41.7,58.3,2024-11-16 00:40
绊么导,,咯蜡,400,500,43.8,56.2,2024-11-16 00:50
绊么导,,咯蜡,400,500,46.7,53.3,2024-11-16 01:00
绊么导,,咯蜡,400,500,49.0,51.0,2024-11-16 01:10
绊么导,,咯蜡,400,500,43.0,57.0,2024-11-16 01:20
绊么导,,咯蜡,500,600,40.4,59.6,2024-11-16 01:30
绊么导,,咯蜡,400,500,45.5,54.5,2024-11-16 01:50
绊么导,,咯蜡,400,500,47.2,52.8,2024-11-16 02:05
绊么导,,咯蜡,400,500,47.4,52.6,2024-11-16 02:15
绊么导,,咯蜡,400,500,44.8,55.2,2024-11-16 02:25
绊么导,,咯蜡,400,500,46.7,53.3,2024-11-16 02:35
绊么导,,咯蜡,300,400,50.3,49.7,2024-11-16 02:45
绊么导,,咯蜡,400,500,49.8,50.2,2024-11-16 02:55
绊么导,,咯蜡,400,500,45.6,54.4,2024-11-16 03:05
绊么导,,咯蜡,600,700,53.2,46.8,2024-11-16 03:15
绊么导,,咯蜡,600,700,53.5,46.5,2024-11-16 03:25
绊么导,,咯蜡,500,600,49.7,50.3,2024-11-16 03:35
绊么导,,咯蜡,500,600,53.9,46.1,2024-11-16 04:05
绊么导,,咯蜡,500,600,50.2,49.8,2024-11-16 04:25
绊么导,,咯蜡,500,600,49.6,50.4,2024-11-16 04:45
绊么导,,咯蜡,500,600,50.1,49.9,2024-11-16 04:55
绊么导,,咯蜡,600,700,48.8,51.2,2024-11-16 05:05
绊么导,,咯蜡,500,600,51.7,48.3,2024-11-16 05:15
绊么导,,咯蜡,600,700,50.7,49.3,2024-11-16 05:25
绊么导,,咯蜡,600,700,45.4,54.6,2024-11-16 05:45
绊么导,,咯蜡,600,700,41.7,58.3,2024-11-16 06:00
绊么导,,咯蜡,600,700,41.4,58.6,2024-11-16 06:10
绊么导,,咯蜡,600,700,44.6,55.4,2024-11-16 06:20
绊么导,,咯蜡,600,700,45.0,55.0,2024-11-16 06:30
绊么导,,咯蜡,600,700,40.7,59.3,2024-11-16 06:40
绊么导,,咯蜡,600,700,41.0,59.0,2024-11-16 06:50
绊么导,,咯蜡,600,700,41.3,58.7,2024-11-16 07:00
绊么导,,咯蜡,600,700,12.6,87.4,2024-11-16 07:10
绊么导,,咯蜡,600,700,14.3,85.7,2024-11-16 07:20
绊么导,,咯蜡,600,700,13.5,86.5,2024-11-16 07:30
绊么导,,咯蜡,700,800,11.9,88.1,2024-11-16 07:40
绊么导,,咯蜡,600,700,14.9,85.1,2024-11-16 08:00
绊么导,,咯蜡,700,800,13.2,86.8,2024-11-16 08:10
绊么导,,咯蜡,700,800,12.6,87.4,2024-11-16 08:20
绊么导,,咯蜡,700,800,12.1,87.9,2024-11-16 08:30
绊么导,,咯蜡,600,700,12.9,87.1,2024-11-16 08:40
绊么导,,咯蜡,700,800,12.8,87.2,2024-11-16 08:50
绊么导,,咯蜡,700,800,12.1,87.9,2024-11-16 09:00
绊么导,,咯蜡,800,900,10.8,89.2,2024-11-16 09:25
绊么导,,咯蜡,800,900,11.5,88.5,2024-11-16 09:35
绊么导,,咯蜡,900,1000,11.1,88.9,2024-11-16 09:45
绊么导,,咯蜡,900,1000,11.6,88.4,2024-11-16 09:55
绊么导,,咯蜡,900,1000,11.6,88.4,2024-11-16 10:05
绊么导,,咯蜡,900,1000,9.8,90.2,2024-11-16 10:15
绊么导,,咯蜡,800,900,11.0,89.0,2024-11-16 10:25
绊么导,,咯蜡,900,1000,9.7,90.3,2024-11-16 10:35
绊么导,,咯蜡,800,900,11.6,88.4,2024-11-16 10:45
绊么导,,咯蜡,1000,1500,9.4,90.6,2024-11-16 10:55
绊么导,,咯蜡,1000,1500,10.0,90.0,2024-11-16 11:05
绊么导,,咯蜡,900,1000,11.2,88.8,2024-11-16 11:15
绊么导,,咯蜡,900,1000,9.0,91.0,2024-11-16 11:25
绊么导,,咯蜡,1000,1500,9.2,90.8,2024-11-16 11:35
绊么导,,咯蜡,1000,1500,8.9,91.1,2024-11-16 11:45
绊么导,,咯蜡,900,1000,10.7,89.3,2024-11-16 11:55
绊么导,,咯蜡,900,1000,10.2,89.8,2024-11-16 12:20
绊么导,,咯蜡,900,1000,9.9,90.1,2024-11-16 12:30
绊么导,,咯蜡,800,900,12.6,87.4,2024-11-16 12:40
绊么导,,咯蜡,800,900,9.7,90.3,2024-11-16 12:50
绊么导,,咯蜡,800,900,10.5,89.5,2024-11-16 13:00
绊么导,,咯蜡,800,900,10.2,89.8,2024-11-16 13:10
绊么导,,咯蜡,900,1000,9.4,90.6,2024-11-16 13:20
绊么导,,咯蜡,800,900,10.1,89.9,2024-11-16 13:30
绊么导,,咯蜡,900,1000,9.7,90.3,2024-11-16 13:40
绊么导,,咯蜡,900,1000,10.1,89.9,2024-11-16 13:50
绊么导,,咯蜡,900,1000,9.4,90.6,2024-11-16 14:00
绊么导,,咯蜡,900,1000,9.8,90.2,2024-11-16 14:10
绊么导,,咯蜡,1000,1500,9.4,90.6,2024-11-16 14:20
绊么导,,咯蜡,800,900,8.9,91.1,2024-11-16 14:30
绊么导,,咯蜡,900,1000,7.8,92.2,2024-11-16 14:40
绊么导,,咯蜡,900,1000,9.6,90.4,2024-11-16 15:05
绊么导,,咯蜡,900,1000,8.2,91.8,2024-11-16 15:15
绊么导,,咯蜡,1000,1500,8.0,92.0,2024-11-16 15:25
绊么导,,咯蜡,1000,1500,9.0,91.0,2024-11-16 15:35
绊么导,,咯蜡,900,1000,8.0,92.0,2024-11-16 15:45
绊么导,,咯蜡,1000,1500,7.6,92.4,2024-11-16 15:55
绊么导,,咯蜡,1000,1500,9.8,90.2,2024-11-16 16:05
绊么导,,咯蜡,1000,1500,7.2,92.8,2024-11-16 16:15
绊么导,,咯蜡,900,1000,8.4,91.6,2024-11-16 16:25
绊么导,,咯蜡,900,1000,8.3,91.7,2024-11-16 16:35
绊么导,,咯蜡,1000,1500,7.8,92.2,2024-11-16 16:45
绊么导,,咯蜡,1000,1500,8.7,91.3,2024-11-16 16:55
绊么导,,咯蜡,1000,1500,8.6,91.4,2024-11-16 17:05
绊么导,,咯蜡,800,900,10.2,89.8,2024-11-16 17:15
绊么导,,咯蜡,900,1000,10.4,89.6,2024-11-16 17:25
绊么导,,咯蜡,900,1000,9.8,90.2,2024-11-16 17:40
绊么导,,咯蜡,1000,1500,8.1,91.9,2024-11-16 17:50
绊么导,,咯蜡,900,1000,17.0,83.0,2024-11-16 18:10
绊么导,,咯蜡,900,1000,17.7,82.3,2024-11-16 18:20
绊么导,,咯蜡,800,900,18.6,81.4,2024-11-16 18:30
绊么导,,咯蜡,800,900,18.3,81.7,2024-11-16 18:40
绊么导,,咯蜡,800,900,19.4,80.6,2024-11-16 18:50
绊么导,,咯蜡,800,900,20.5,79.5,2024-11-16 19:00
绊么导,,咯蜡,700,800,24.6,75.4,2024-11-16 19:10
绊么导,,咯蜡,900,1000,20.3,79.7,2024-11-16 19:20
绊么导,,咯蜡,800,900,21.9,78.1,2024-11-16 19:30
绊么导,,咯蜡,800,900,24.0,76.0,2024-11-16 19:40
绊么导,,咯蜡,800,900,22.1,77.9,2024-11-16 19:50
绊么导,,咯蜡,800,900,23.6,76.4,2024-11-16 20:00
绊么导,,咯蜡,700,800,26.7,73.3,2024-11-16 20:10
绊么导,,咯蜡,700,800,27.0,73.0,2024-11-16 20:20
绊么导,,咯蜡,800,900,27.0,73.0,2024-11-16 20:30
绊么导,,咯蜡,700,800,29.5,70.5,2024-11-16 20:40
绊么导,,咯蜡,700,800,28.9,71.1,2024-11-16 20:50
绊么导,,咯蜡,700,800,27.2,72.8,2024-11-16 21:00
绊么导,,咯蜡,700,800,29.9,70.1,2024-11-16 21:25
绊么导,,咯蜡,700,800,30.2,69.8,2024-11-16 21:35
绊么导,,咯蜡,700,800,29.4,70.6,2024-11-16 21:45
绊么导,,咯蜡,700,800,30.0,70.0,2024-11-16 21:55
绊么导,,咯蜡,700,800,31.6,68.4,2024-11-16 22:05
绊么导,,咯蜡,700,800,34.0,66.0,2024-11-16 22:15
绊么导,,咯蜡,700,800,31.8,68.2,2024-11-16 22:25
绊么导,,咯蜡,600,700,34.7,65.3,2024-11-16 22:35
绊么导,,咯蜡,600,700,35.9,64.1,2024-11-16 22:45
绊么导,,咯蜡,600,700,37.0,63.0,2024-11-16 22:55
绊么导,,咯蜡,600,700,38.4,61.6,2024-11-16 23:05
绊么导,,咯蜡,600,700,40.7,59.3,2024-11-16 23:25
