«÷Ω∫∆Ã ¿Âº“∏Ì,Ω«Ω√∞£ ¿Œ±∏«ˆ»≤,¿Âº“ »•¿‚µµ ¡ˆ«•,Ω«Ω√∞£ ¿Œ±∏ ¡ˆ«• √÷º“∞™,Ω«Ω√∞£ ¿Œ±∏ ¡ˆ«• √÷¥Î∞™,ªÛ¡÷ ¿Œ±∏ ∫Ò¿≤,∫ÒªÛ¡÷ ¿Œ±∏ ∫Ò¿≤,Ω«Ω√∞£ ¿Œ±∏ µ•¿Ã≈Õ æ˜µ•¿Ã∆Æ Ω√∞£
≥ÎµÈº∂,,ø©¿Ø,1000,1500,27.2,72.8,2024-11-13 20:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,27.8,72.2,2024-11-13 20:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,28.1,71.9,2024-11-13 20:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.7,70.3,2024-11-13 20:55
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.6,71.4,2024-11-13 21:10
≥ÎµÈº∂,,ø©¿Ø,900,1000,30.9,69.1,2024-11-13 21:20
≥ÎµÈº∂,,ø©¿Ø,900,1000,32.8,67.2,2024-11-13 21:30
≥ÎµÈº∂,,ø©¿Ø,900,1000,33.1,66.9,2024-11-13 21:40
≥ÎµÈº∂,,ø©¿Ø,900,1000,35.0,65.0,2024-11-13 21:50
≥ÎµÈº∂,,ø©¿Ø,900,1000,37.1,62.9,2024-11-13 22:00
≥ÎµÈº∂,,ø©¿Ø,800,900,39.9,60.1,2024-11-13 22:10
≥ÎµÈº∂,,ø©¿Ø,800,900,40.7,59.3,2024-11-13 22:20
≥ÎµÈº∂,,ø©¿Ø,800,900,45.0,55.0,2024-11-13 22:30
≥ÎµÈº∂,,ø©¿Ø,800,900,44.0,56.0,2024-11-13 22:40
≥ÎµÈº∂,,ø©¿Ø,800,900,47.9,52.1,2024-11-13 22:50
≥ÎµÈº∂,,ø©¿Ø,700,800,51.4,48.6,2024-11-13 23:00
≥ÎµÈº∂,,ø©¿Ø,700,800,55.4,44.6,2024-11-13 23:10
≥ÎµÈº∂,,ø©¿Ø,700,800,58.5,41.5,2024-11-13 23:20
≥ÎµÈº∂,,ø©¿Ø,700,800,58.6,41.4,2024-11-13 23:30
≥ÎµÈº∂,,ø©¿Ø,700,800,60.0,40.0,2024-11-13 23:40
≥ÎµÈº∂,,ø©¿Ø,700,800,62.1,37.9,2024-11-13 23:50
≥ÎµÈº∂,,ø©¿Ø,700,800,64.8,35.2,2024-11-14 00:00
≥ÎµÈº∂,,ø©¿Ø,700,800,65.0,35.0,2024-11-14 00:10
≥ÎµÈº∂,,ø©¿Ø,700,800,68.9,31.1,2024-11-14 00:20
≥ÎµÈº∂,,ø©¿Ø,700,800,70.4,29.6,2024-11-14 00:30
≥ÎµÈº∂,,ø©¿Ø,700,800,70.2,29.8,2024-11-14 00:40
≥ÎµÈº∂,,ø©¿Ø,700,800,74.2,25.8,2024-11-14 00:50
≥ÎµÈº∂,,ø©¿Ø,600,700,32.8,67.2,2024-11-14 10:40
≥ÎµÈº∂,,ø©¿Ø,600,700,33.5,66.5,2024-11-14 10:50
≥ÎµÈº∂,,ø©¿Ø,500,600,27.9,72.1,2024-11-14 11:00
≥ÎµÈº∂,,ø©¿Ø,600,700,27.3,72.7,2024-11-14 11:10
≥ÎµÈº∂,,ø©¿Ø,500,600,27.6,72.4,2024-11-14 11:20
≥ÎµÈº∂,,ø©¿Ø,600,700,24.6,75.4,2024-11-14 11:30
≥ÎµÈº∂,,ø©¿Ø,600,700,23.7,76.3,2024-11-14 11:40
≥ÎµÈº∂,,ø©¿Ø,600,700,23.5,76.5,2024-11-14 11:50
≥ÎµÈº∂,,ø©¿Ø,600,700,25.1,74.9,2024-11-14 12:00
≥ÎµÈº∂,,ø©¿Ø,600,700,24.4,75.6,2024-11-14 12:10
≥ÎµÈº∂,,ø©¿Ø,600,700,24.8,75.2,2024-11-14 12:20
≥ÎµÈº∂,,ø©¿Ø,600,700,23.7,76.3,2024-11-14 12:30
≥ÎµÈº∂,,ø©¿Ø,600,700,24.3,75.7,2024-11-14 12:40
≥ÎµÈº∂,,ø©¿Ø,600,700,23.6,76.4,2024-11-14 12:50
≥ÎµÈº∂,,ø©¿Ø,700,800,31.3,68.7,2024-11-14 13:15
≥ÎµÈº∂,,ø©¿Ø,800,900,29.9,70.1,2024-11-14 13:25
≥ÎµÈº∂,,ø©¿Ø,800,900,30.5,69.5,2024-11-14 13:35
≥ÎµÈº∂,,ø©¿Ø,800,900,28.6,71.4,2024-11-14 13:45
≥ÎµÈº∂,,ø©¿Ø,800,900,28.7,71.3,2024-11-14 13:55
≥ÎµÈº∂,,ø©¿Ø,800,900,30.6,69.4,2024-11-14 14:05
≥ÎµÈº∂,,ø©¿Ø,800,900,29.1,70.9,2024-11-14 14:15
≥ÎµÈº∂,,ø©¿Ø,700,800,31.7,68.3,2024-11-14 14:25
≥ÎµÈº∂,,ø©¿Ø,800,900,30.4,69.6,2024-11-14 14:35
≥ÎµÈº∂,,ø©¿Ø,800,900,29.2,70.8,2024-11-14 14:45
≥ÎµÈº∂,,ø©¿Ø,800,900,28.7,71.3,2024-11-14 14:55
≥ÎµÈº∂,,ø©¿Ø,800,900,30.2,69.8,2024-11-14 15:10
≥ÎµÈº∂,,ø©¿Ø,800,900,28.1,71.9,2024-11-14 15:20
≥ÎµÈº∂,,ø©¿Ø,800,900,28.5,71.5,2024-11-14 15:30
≥ÎµÈº∂,,ø©¿Ø,800,900,28.9,71.1,2024-11-14 15:40
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.0,72.0,2024-11-14 15:50
≥ÎµÈº∂,,ø©¿Ø,800,900,30.4,69.6,2024-11-14 16:00
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.0,72.0,2024-11-14 16:10
≥ÎµÈº∂,,ø©¿Ø,800,900,29.7,70.3,2024-11-14 16:20
≥ÎµÈº∂,,ø©¿Ø,900,1000,30.3,69.7,2024-11-14 16:40
≥ÎµÈº∂,,ø©¿Ø,1000,1500,30.2,69.8,2024-11-14 17:00
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.8,70.2,2024-11-14 17:10
≥ÎµÈº∂,,ø©¿Ø,1000,1500,29.5,70.5,2024-11-14 17:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.1,73.9,2024-11-14 17:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.8,73.2,2024-11-14 17:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,25.8,74.2,2024-11-14 18:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,25.1,74.9,2024-11-14 18:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,24.7,75.3,2024-11-14 18:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.3,73.7,2024-11-14 18:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.2,73.8,2024-11-14 18:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,27.6,72.4,2024-11-14 18:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,28.5,71.5,2024-11-14 19:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,31.0,69.0,2024-11-14 19:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,32.0,68.0,2024-11-14 19:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,35.4,64.6,2024-11-14 19:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,33.9,66.1,2024-11-14 19:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,37.4,62.6,2024-11-14 19:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.5,61.5,2024-11-14 20:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,39.3,60.7,2024-11-14 20:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.7,61.3,2024-11-14 20:30
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.4,61.6,2024-11-14 20:40
≥ÎµÈº∂,,ø©¿Ø,1000,1500,41.0,59.0,2024-11-14 20:50
≥ÎµÈº∂,,ø©¿Ø,900,1000,34.9,65.1,2024-11-14 21:00
≥ÎµÈº∂,,ø©¿Ø,1000,1500,35.3,64.7,2024-11-14 21:10
≥ÎµÈº∂,,ø©¿Ø,900,1000,36.5,63.5,2024-11-14 21:20
≥ÎµÈº∂,,ø©¿Ø,900,1000,37.5,62.5,2024-11-14 21:30
≥ÎµÈº∂,,ø©¿Ø,900,1000,40.1,59.9,2024-11-14 21:40
≥ÎµÈº∂,,ø©¿Ø,800,900,41.3,58.7,2024-11-14 21:50
≥ÎµÈº∂,,ø©¿Ø,800,900,42.5,57.5,2024-11-14 22:00
≥ÎµÈº∂,,ø©¿Ø,800,900,44.1,55.9,2024-11-14 22:10
≥ÎµÈº∂,,ø©¿Ø,800,900,46.9,53.1,2024-11-14 22:20
≥ÎµÈº∂,,ø©¿Ø,800,900,46.9,53.1,2024-11-14 22:30
≥ÎµÈº∂,,ø©¿Ø,800,900,48.3,51.7,2024-11-14 22:40
≥ÎµÈº∂,,ø©¿Ø,700,800,51.7,48.3,2024-11-14 22:50
≥ÎµÈº∂,,ø©¿Ø,700,800,52.5,47.5,2024-11-14 23:00
≥ÎµÈº∂,,ø©¿Ø,700,800,58.5,41.5,2024-11-14 23:10
≥ÎµÈº∂,,ø©¿Ø,700,800,58.0,42.0,2024-11-14 23:20
≥ÎµÈº∂,,ø©¿Ø,700,800,59.9,40.1,2024-11-14 23:30
≥ÎµÈº∂,,ø©¿Ø,700,800,60.4,39.6,2024-11-14 23:40
≥ÎµÈº∂,,ø©¿Ø,700,800,63.0,37.0,2024-11-14 23:50
≥ÎµÈº∂,,ø©¿Ø,700,800,64.9,35.1,2024-11-15 00:00
≥ÎµÈº∂,,ø©¿Ø,700,800,68.2,31.8,2024-11-15 00:25
≥ÎµÈº∂,,ø©¿Ø,700,800,71.5,28.5,2024-11-15 00:35
≥ÎµÈº∂,,ø©¿Ø,700,800,71.5,28.5,2024-11-15 00:45
≥ÎµÈº∂,,ø©¿Ø,700,800,74.9,25.1,2024-11-15 00:55
≥ÎµÈº∂,,ø©¿Ø,600,700,71.6,28.4,2024-11-15 01:05
≥ÎµÈº∂,,ø©¿Ø,600,700,70.7,29.3,2024-11-15 01:15
≥ÎµÈº∂,,ø©¿Ø,600,700,73.1,26.9,2024-11-15 01:25
≥ÎµÈº∂,,ø©¿Ø,600,700,72.1,27.9,2024-11-15 01:35
≥ÎµÈº∂,,ø©¿Ø,600,700,73.1,26.9,2024-11-15 01:45
≥ÎµÈº∂,,ø©¿Ø,500,600,75.0,25.0,2024-11-15 01:55
≥ÎµÈº∂,,ø©¿Ø,500,600,74.4,25.6,2024-11-15 02:05
≥ÎµÈº∂,,ø©¿Ø,600,700,73.8,26.2,2024-11-15 02:15
≥ÎµÈº∂,,ø©¿Ø,600,700,74.7,25.3,2024-11-15 02:25
≥ÎµÈº∂,,ø©¿Ø,500,600,75.9,24.1,2024-11-15 02:35
≥ÎµÈº∂,,ø©¿Ø,500,600,75.4,24.6,2024-11-15 02:55
≥ÎµÈº∂,,ø©¿Ø,500,600,78.3,21.7,2024-11-15 03:05
≥ÎµÈº∂,,ø©¿Ø,500,600,78.6,21.4,2024-11-15 03:15
≥ÎµÈº∂,,ø©¿Ø,500,600,76.9,23.1,2024-11-15 03:40
≥ÎµÈº∂,,ø©¿Ø,500,600,76.5,23.5,2024-11-15 03:50
≥ÎµÈº∂,,ø©¿Ø,500,600,76.8,23.2,2024-11-15 04:00
≥ÎµÈº∂,,ø©¿Ø,500,600,78.1,21.9,2024-11-15 04:10
≥ÎµÈº∂,,ø©¿Ø,600,700,74.7,25.3,2024-11-15 04:20
≥ÎµÈº∂,,ø©¿Ø,500,600,77.6,22.4,2024-11-15 04:30
≥ÎµÈº∂,,ø©¿Ø,500,600,76.5,23.5,2024-11-15 04:40
≥ÎµÈº∂,,ø©¿Ø,600,700,73.4,26.6,2024-11-15 04:50
≥ÎµÈº∂,,ø©¿Ø,600,700,72.0,28.0,2024-11-15 05:00
≥ÎµÈº∂,,ø©¿Ø,700,800,72.1,27.9,2024-11-15 05:30
≥ÎµÈº∂,,ø©¿Ø,700,800,69.2,30.8,2024-11-15 05:40
≥ÎµÈº∂,,ø©¿Ø,700,800,68.5,31.5,2024-11-15 05:50
≥ÎµÈº∂,,ø©¿Ø,700,800,66.7,33.3,2024-11-15 06:00
≥ÎµÈº∂,,ø©¿Ø,700,800,66.7,33.3,2024-11-15 06:10
≥ÎµÈº∂,,ø©¿Ø,700,800,65.1,34.9,2024-11-15 06:20
≥ÎµÈº∂,,ø©¿Ø,800,900,58.8,41.2,2024-11-15 06:30
≥ÎµÈº∂,,ø©¿Ø,800,900,59.9,40.1,2024-11-15 06:45
≥ÎµÈº∂,,ø©¿Ø,800,900,55.5,44.5,2024-11-15 06:55
≥ÎµÈº∂,,ø©¿Ø,900,1000,51.1,48.9,2024-11-15 07:05
≥ÎµÈº∂,,ø©¿Ø,900,1000,48.7,51.3,2024-11-15 07:15
≥ÎµÈº∂,,ø©¿Ø,900,1000,45.8,54.2,2024-11-15 07:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,44.0,56.0,2024-11-15 07:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.2,61.8,2024-11-15 07:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.0,62.0,2024-11-15 07:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,32.7,67.3,2024-11-15 08:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,35.8,64.2,2024-11-15 08:35
≥ÎµÈº∂,,ø©¿Ø,800,900,39.9,60.1,2024-11-15 08:45
≥ÎµÈº∂,,ø©¿Ø,800,900,40.0,60.0,2024-11-15 08:55
≥ÎµÈº∂,,ø©¿Ø,700,800,37.8,62.2,2024-11-15 09:05
≥ÎµÈº∂,,ø©¿Ø,800,900,32.0,68.0,2024-11-15 09:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.9,71.1,2024-11-15 09:40
≥ÎµÈº∂,,ø©¿Ø,800,900,31.6,68.4,2024-11-15 09:50
≥ÎµÈº∂,,ø©¿Ø,700,800,31.9,68.1,2024-11-15 10:00
≥ÎµÈº∂,,ø©¿Ø,700,800,31.6,68.4,2024-11-15 10:10
≥ÎµÈº∂,,ø©¿Ø,800,900,29.0,71.0,2024-11-15 10:20
≥ÎµÈº∂,,ø©¿Ø,700,800,33.0,67.0,2024-11-15 10:30
≥ÎµÈº∂,,ø©¿Ø,700,800,31.4,68.6,2024-11-15 10:40
≥ÎµÈº∂,,ø©¿Ø,800,900,27.7,72.3,2024-11-15 10:50
≥ÎµÈº∂,,ø©¿Ø,600,700,24.0,76.0,2024-11-15 11:00
≥ÎµÈº∂,,ø©¿Ø,500,600,27.7,72.3,2024-11-15 11:10
≥ÎµÈº∂,,ø©¿Ø,600,700,25.6,74.4,2024-11-15 11:20
≥ÎµÈº∂,,ø©¿Ø,600,700,26.1,73.9,2024-11-15 11:30
≥ÎµÈº∂,,ø©¿Ø,600,700,24.5,75.5,2024-11-15 11:40
≥ÎµÈº∂,,ø©¿Ø,600,700,23.2,76.8,2024-11-15 11:50
≥ÎµÈº∂,,ø©¿Ø,600,700,24.3,75.7,2024-11-15 12:00
≥ÎµÈº∂,,ø©¿Ø,600,700,23.7,76.3,2024-11-15 12:10
≥ÎµÈº∂,,ø©¿Ø,600,700,23.2,76.8,2024-11-15 12:20
≥ÎµÈº∂,,ø©¿Ø,600,700,25.3,74.7,2024-11-15 12:30
≥ÎµÈº∂,,ø©¿Ø,500,600,25.2,74.8,2024-11-15 12:40
≥ÎµÈº∂,,ø©¿Ø,600,700,22.9,77.1,2024-11-15 12:50
≥ÎµÈº∂,,ø©¿Ø,800,900,28.8,71.2,2024-11-15 13:00
≥ÎµÈº∂,,ø©¿Ø,900,1000,28.0,72.0,2024-11-15 13:15
≥ÎµÈº∂,,ø©¿Ø,800,900,29.0,71.0,2024-11-15 13:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,26.0,74.0,2024-11-15 13:35
≥ÎµÈº∂,,ø©¿Ø,900,1000,25.6,74.4,2024-11-15 13:45
≥ÎµÈº∂,,ø©¿Ø,800,900,28.6,71.4,2024-11-15 13:55
≥ÎµÈº∂,,ø©¿Ø,800,900,27.9,72.1,2024-11-15 14:05
≥ÎµÈº∂,,ø©¿Ø,900,1000,25.1,74.9,2024-11-15 14:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,24.2,75.8,2024-11-15 14:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,24.3,75.7,2024-11-15 14:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.4,76.6,2024-11-15 14:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,22.2,77.8,2024-11-15 14:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,21.6,78.4,2024-11-15 15:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.3,76.7,2024-11-15 15:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,23.7,76.3,2024-11-15 15:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,22.4,77.6,2024-11-15 15:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,21.8,78.2,2024-11-15 15:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,22.1,77.9,2024-11-15 15:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,20.7,79.3,2024-11-15 16:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,19.3,80.7,2024-11-15 16:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,21.4,78.6,2024-11-15 17:00
≥ÎµÈº∂,,ø©¿Ø,1500,2000,20.9,79.1,2024-11-15 17:10
≥ÎµÈº∂,,ø©¿Ø,1500,2000,18.7,81.3,2024-11-15 17:20
≥ÎµÈº∂,,ø©¿Ø,1500,2000,18.8,81.2,2024-11-15 17:30
≥ÎµÈº∂,,ø©¿Ø,1500,2000,19.2,80.8,2024-11-15 17:40
≥ÎµÈº∂,,ø©¿Ø,1500,2000,19.0,81.0,2024-11-15 17:50
≥ÎµÈº∂,,ø©¿Ø,1500,2000,18.9,81.1,2024-11-15 18:00
≥ÎµÈº∂,,ø©¿Ø,1500,2000,20.4,79.6,2024-11-15 18:10
≥ÎµÈº∂,,∫∏≈Î,1500,2000,19.0,81.0,2024-11-15 18:20
≥ÎµÈº∂,,ø©¿Ø,1500,2000,19.4,80.6,2024-11-15 18:30
≥ÎµÈº∂,,ø©¿Ø,1500,2000,20.9,79.1,2024-11-15 18:40
≥ÎµÈº∂,,ø©¿Ø,1500,2000,23.9,76.1,2024-11-15 19:00
≥ÎµÈº∂,,ø©¿Ø,1500,2000,25.2,74.8,2024-11-15 19:10
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.2,73.8,2024-11-15 19:20
≥ÎµÈº∂,,ø©¿Ø,1500,2000,25.3,74.7,2024-11-15 19:30
≥ÎµÈº∂,,ø©¿Ø,1000,1500,26.7,73.3,2024-11-15 19:40
≥ÎµÈº∂,,ø©¿Ø,1000,1500,31.3,68.7,2024-11-15 20:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,32.7,67.3,2024-11-15 20:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,33.5,66.5,2024-11-15 20:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,34.1,65.9,2024-11-15 20:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,33.0,67.0,2024-11-15 20:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,34.7,65.3,2024-11-15 20:55
≥ÎµÈº∂,,ø©¿Ø,1000,1500,31.6,68.4,2024-11-15 21:05
≥ÎµÈº∂,,ø©¿Ø,1000,1500,30.1,69.9,2024-11-15 21:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,31.3,68.7,2024-11-15 21:25
≥ÎµÈº∂,,ø©¿Ø,1000,1500,31.8,68.2,2024-11-15 21:45
≥ÎµÈº∂,,ø©¿Ø,1000,1500,33.3,66.7,2024-11-15 21:55
≥ÎµÈº∂,,ø©¿Ø,900,1000,36.4,63.6,2024-11-15 22:05
≥ÎµÈº∂,,ø©¿Ø,900,1000,37.5,62.5,2024-11-15 22:15
≥ÎµÈº∂,,ø©¿Ø,1000,1500,36.2,63.8,2024-11-15 22:25
≥ÎµÈº∂,,ø©¿Ø,900,1000,39.4,60.6,2024-11-15 22:35
≥ÎµÈº∂,,ø©¿Ø,1000,1500,38.6,61.4,2024-11-15 23:00
≥ÎµÈº∂,,ø©¿Ø,800,900,45.9,54.1,2024-11-15 23:10
≥ÎµÈº∂,,ø©¿Ø,800,900,48.1,51.9,2024-11-15 23:20
≥ÎµÈº∂,,ø©¿Ø,800,900,51.3,48.7,2024-11-15 23:30
≥ÎµÈº∂,,ø©¿Ø,700,800,54.0,46.0,2024-11-15 23:40
≥ÎµÈº∂,,ø©¿Ø,700,800,54.6,45.4,2024-11-15 23:50
≥ÎµÈº∂,,ø©¿Ø,400,500,41.0,59.0,2024-11-16 00:00
≥ÎµÈº∂,,ø©¿Ø,400,500,42.2,57.8,2024-11-16 00:10
≥ÎµÈº∂,,ø©¿Ø,300,400,44.7,55.3,2024-11-16 00:20
≥ÎµÈº∂,,ø©¿Ø,400,500,44.4,55.6,2024-11-16 00:30
≥ÎµÈº∂,,ø©¿Ø,400,500,45.1,54.9,2024-11-16 00:40
≥ÎµÈº∂,,ø©¿Ø,400,500,42.5,57.5,2024-11-16 00:50
≥ÎµÈº∂,,ø©¿Ø,300,400,50.4,49.6,2024-11-16 01:00
≥ÎµÈº∂,,ø©¿Ø,300,400,46.5,53.5,2024-11-16 01:10
≥ÎµÈº∂,,ø©¿Ø,200,300,51.3,48.7,2024-11-16 01:20
≥ÎµÈº∂,,ø©¿Ø,300,400,49.5,50.5,2024-11-16 01:30
≥ÎµÈº∂,,ø©¿Ø,200,300,48.2,51.8,2024-11-16 01:50
≥ÎµÈº∂,,ø©¿Ø,300,400,56.1,43.9,2024-11-16 02:05
≥ÎµÈº∂,,ø©¿Ø,400,500,53.7,46.3,2024-11-16 02:15
≥ÎµÈº∂,,ø©¿Ø,300,400,58.7,41.3,2024-11-16 02:25
≥ÎµÈº∂,,ø©¿Ø,300,400,59.8,40.2,2024-11-16 02:35
≥ÎµÈº∂,,ø©¿Ø,300,400,58.4,41.6,2024-11-16 02:45
≥ÎµÈº∂,,ø©¿Ø,300,400,60.0,40.0,2024-11-16 02:55
≥ÎµÈº∂,,ø©¿Ø,300,400,58.1,41.9,2024-11-16 03:05
≥ÎµÈº∂,,ø©¿Ø,300,400,59.9,40.1,2024-11-16 03:15
≥ÎµÈº∂,,ø©¿Ø,300,400,59.6,40.4,2024-11-16 03:25
≥ÎµÈº∂,,ø©¿Ø,300,400,59.8,40.2,2024-11-16 03:35
≥ÎµÈº∂,,ø©¿Ø,300,400,62.8,37.2,2024-11-16 04:05
≥ÎµÈº∂,,ø©¿Ø,300,400,66.5,33.5,2024-11-16 04:25
≥ÎµÈº∂,,ø©¿Ø,300,400,62.1,37.9,2024-11-16 04:45
≥ÎµÈº∂,,ø©¿Ø,300,400,58.2,41.8,2024-11-16 04:55
≥ÎµÈº∂,,ø©¿Ø,300,400,61.1,38.9,2024-11-16 05:05
≥ÎµÈº∂,,ø©¿Ø,400,500,60.3,39.7,2024-11-16 05:15
≥ÎµÈº∂,,ø©¿Ø,400,500,61.5,38.5,2024-11-16 05:25
≥ÎµÈº∂,,ø©¿Ø,400,500,57.6,42.4,2024-11-16 05:45
